# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Duct,0,BCEQUETROM,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 2.804347826086956275e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,37,25
# x,y,z,u,w
2.897547307831841579e+01, 2.637220892601938260e+00, -4.512782631028104952e+00, 6.666666666666666297e-01, 1.533286772417713939e+00
2.859051223642776307e+01, 2.642017742169054717e+00, -4.520990945876082634e+00, 6.666666666666666297e-01, 1.723464124463156111e+00
2.832215696408159999e+01, 2.640709328517936161e+00, -4.518752003201415235e+00, 6.666666666666666297e-01, 1.855997787961553458e+00
2.814746594534253177e+01, 2.638928562401375189e+00, -4.515704776318266056e+00, 6.666666666666666297e-01, 1.942284652561525382e+00
2.804347826086956275e+01, 2.648912834929302740e+00, -4.532789750797984851e+00, 6.666666666666666297e-01, 2.000000000000000000e+00
2.808565367535931756e+01, 2.700451398328005403e+00, -4.620981958885768570e+00, 6.666666666666666297e-01, 2.057715347438474396e+00
2.823809501456726068e+01, 2.755909579264773868e+00, -4.715881372272768601e+00, 6.666666666666666297e-01, 2.144002212038446320e+00
2.850474303975241597e+01, 2.812221249702387738e+00, -4.812241267262195699e+00, 6.666666666666666297e-01, 2.276535875536843889e+00
2.891040353619187897e+01, 2.856204027338039353e+00, -4.887504100017439512e+00, 6.666666666666666297e-01, 2.466713227582285839e+00
2.945081802297411144e+01, 2.864565948295999753e+00, -4.901812924798472082e+00, 6.666666666666666297e-01, 2.714565234557309914e+00
3.006381579322459174e+01, 2.810481522142424637e+00, -4.809264265093987412e+00, 6.666666666666666297e-01, 3.000000000000000000e+00
3.063610944426656602e+01, 2.686888902795685929e+00, -4.597773969580307707e+00, 6.666666666666666297e-01, 3.285434765442690974e+00
3.110414969852077860e+01, 2.549613676845541299e+00, -4.362870152051747219e+00, 6.666666666666666297e-01, 3.533286772417714161e+00
3.145783938880833830e+01, 2.439631989055734973e+00, -4.174670729022260218e+00, 6.666666666666666297e-01, 3.723464124463156111e+00
3.170806691422859558e+01, 2.366157349990504422e+00, -4.048941755797158315e+00, 6.666666666666666297e-01, 3.855997787961553236e+00
3.187541754711798703e+01, 2.322406115937752702e+00, -3.974075137808057434e+00, 6.666666666666666297e-01, 3.942284652561525604e+00
3.198270935857755859e+01, 2.298452975976636559e+00, -3.933086795011917047e+00, 6.666666666666666297e-01, 4.000000000000000000e+00
3.198270935857755504e+01, 1.588850103546978865e+00, -4.270215890584013074e+00, 7.777777777777777901e-01, 0.000000000000000000e+00
3.188023793288285646e+01, 1.601572924314976998e+00, -4.304409922667513655e+00, 7.777777777777777901e-01, 5.771534743847431259e-02
3.171500293799123682e+01, 1.621385927806687555e+00, -4.357659629585506345e+00, 7.777777777777777901e-01, 1.440022120384465143e-01
3.146038941854135018e+01, 1.650974644051557139e+00, -4.437182679625756521e+00, 7.777777777777777901e-01, 2.765358755368439447e-01
3.109352616458856033e+01, 1.691815820993856967e+00, -4.546948001338501300e+00, 7.777777777777777901e-01, 4.667132275822860055e-01
3.061214833015359460e+01, 1.741326077927854765e+00, -4.680012464395449712e+00, 7.777777777777777901e-01, 7.145652345573094699e-01
3.005016437309875954e+01, 1.788166513545188518e+00, -4.805901478122100556e+00, 7.777777777777777901e-01, 1.000000000000000000e+00
2.947626490652759657e+01, 1.811642166084840966e+00, -4.868994972148291467e+00, 7.777777777777777901e-01, 1.285434765442690752e+00
2.897547307831841579e+01, 1.823029982376039859e+00, -4.899601027418809984e+00, 7.777777777777777901e-01, 1.533286772417713939e+00
2.859051223642776307e+01, 1.826345897476793878e+00, -4.908512927492616029e+00, 7.777777777777777901e-01, 1.723464124463156111e+00
2.832215696408159999e+01, 1.825441431217622590e+00, -4.906082071250237320e+00, 7.777777777777777901e-01, 1.855997787961553458e+00
2.814746594534253177e+01, 1.824210442174878377e+00, -4.902773647781134336e+00, 7.777777777777777901e-01, 1.942284652561525382e+00
2.804347826086956275e+01, 1.831112263793873263e+00, -4.921323080660682692e+00, 7.777777777777777901e-01, 2.000000000000000000e+00
2.808565367535932111e+01, 1.866739293212604345e+00, -5.017074786135315989e+00, 7.777777777777777901e-01, 2.057715347438474396e+00
2.823809501456726068e+01, 1.905075834114195565e+00, -5.120108612789283420e+00, 7.777777777777777901e-01, 2.144002212038446320e+00
2.850474303975241597e+01, 1.944002366151549976e+00, -5.224728107919853315e+00, 7.777777777777777901e-01, 2.276535875536843889e+00
2.891040353619187897e+01, 1.974406312428064192e+00, -5.306442181661986446e+00, 7.777777777777777901e-01, 2.466713227582285839e+00
2.945081802297411144e+01, 1.980186652125578650e+00, -5.321977503952111554e+00, 7.777777777777777901e-01, 2.714565234557309914e+00
3.006381579322459174e+01, 1.942799745805307676e+00, -5.221495928558566035e+00, 7.777777777777777901e-01, 3.000000000000000000e+00
3.063610944426656602e+01, 1.857363955689449897e+00, -4.991877497113785367e+00, 7.777777777777777901e-01, 3.285434765442690974e+00
